Fajl;OrigLiteral;SuggestedText;Status;Line
frmDokumenta.frm;"""Prevezi palete >>""";Prevezi palete >>;OK;3187
frmDokumenta.frm;"""Osiroceni dokumenti - PALETE  (""";Osiroceni dokumenti - PALETE  (;OK;3188
frmDokumenta.frm;"""Prevezi >>""";Prevezi >>;OK;3222
frmDokumenta.frm;"""Osiroceni dokumenti - PRIJEMNICE  (""";Osiroceni dokumenti - PRIJEMNICE  (;OK;3223
frmDokumenta.frm;"""Danas""";Danas;OK;3634
frmDokumenta.frm;"""OM saldo""";OM saldo;OK;3648
frmDokumenta.frm;"""Otvoreno kg""";Otvoreno kg;OK;3657
frmDokumenta.frm;"""Validacija""";Validacija;OK;3679
frmExcelMini.frm;"""Zatvori Excel""";Zatvori Excel;OK;50
frmFakturisanje.frm;"""FILTER""";FILTER;OK;65
frmFakturisanje.frm;"""AKCIJE""";AKCIJE;OK;74
frmIzvestaj.frm;"""ENTITET""";ENTITET;OK;114
frmIzvestaj.frm;"""FILTER""";FILTER;OK;120
frmIzvestaj.frm;"""Nema podataka za izabran filter""";Nema podataka za izabran filter;OK;563
frmIzvestaj.frm;"""KARTICA: """;KARTICA: ;OK;967
frmIzvestaj.frm;"""Period: """;Period: ;OK;968
frmIzvestaj.frm;"""OTKUPNI LISTOVI""";OTKUPNI LISTOVI;OK;1728
frmIzvestaj.frm;"""OTKUPNI LISTOVI: """;OTKUPNI LISTOVI: ;OK;1826
frmOtkup.frm;"""Neto: """;Neto: ;OK;334
frmOtkup.frm;"""Ukupno: """;Ukupno: ;OK;358
frmOtkupAPP.frm;"""Uvozim nove bankovne izvode...""";Uvozim nove bankovne izvode...;OK;606
frmOtkupAPP.frm;"""Banka uvezena. Otvaram mapiranje...""";Banka uvezena. Otvaram mapiranje...;OK;612
frmOtkupAPP.frm;"""Sekcija: Otvori Excel""";Sekcija: Otvori Excel;OK;695
frmOtkupAPP.frm;"""Snimam podatke...""";Snimam podatke...;OK;708
frmOtkupAPP.frm;"""Sacuvano.""";Sacuvano.;OK;714
frmOtkupAPP.frm;"""--""";--;OK;1157
frmOtkupAPP.frm;"""Online""";Online;OK;1345
frmOtkupAPP.frm;"""Operator: """;Operator: ;OK;1358
frmOtkupAPP.frm;"""Sezona """;Sezona ;OK;1371
frmPalete.frm;"""Tez. palete:""";Tez. palete:;OK;286
frmPalete.frm;"""Bruto:""";Bruto:;OK;287
frmPalete.frm;"""Sorta:""";Sorta:;OK;288
frmPalete.frm;"""Gotov proizvod:""";Gotov proizvod:;OK;289
frmPalete.frm;"""Kutije:""";Kutije:;OK;298
frmPalete.frm;"""Kese:""";Kese:;OK;299
frmPalete.frm;"""Neto (izr.):""";Neto (izr.):;OK;300
frmPalete.frm;"""Preradjene palete (dvoklik = PDF)""";Preradjene palete (dvoklik = PDF);OK;314
frmSEF.frm;"""Retry slanje na SEF""";Retry slanje na SEF;OK;399
frmSledljivost.frm;"""NEPOVEZANI OTKUPI""";NEPOVEZANI OTKUPI;OK;43
frmSledljivost.frm;"""MOGUCE OTPREMNICE""";MOGUCE OTPREMNICE;OK;46
frmSledljivost.frm;"""SLEDLJIVOST PO ZBIRNOJ""";SLEDLJIVOST PO ZBIRNOJ;OK;49
frmSledljivost.frm;"""Povezano: """;Povezano: ;OK;288
frmSplash.frm;"""OtkupApp""";OtkupApp;OK;52
frmSplash.frm;"""v""";v;OK;53
frmSplash.frm;"""Powered by AgriX""";Powered by AgriX;OK;54
frmStammdaten.frm;"""Kooperanti""";Kooperanti;OK;329
frmStammdaten.frm;"""Ime""";Ime;OK;353
frmStammdaten.frm;"""Prezime""";Prezime;OK;354
frmStammdaten.frm;"""Mesto""";Mesto;OK;355
frmStammdaten.frm;"""Telefon""";Telefon;OK;356
frmStammdaten.frm;"""Stanica""";Stanica;OK;358
frmStammdaten.frm;"""BPG Broj""";BPG Broj;OK;359
frmStammdaten.frm;"""Pin""";Pin;OK;361
frmStammdaten.frm;"""Adresa""";Adresa;OK;362
frmStammdaten.frm;"""JMBG""";JMBG;OK;363
frmStammdaten.frm;"""Otkupna Mesta""";Otkupna Mesta;OK;371
frmStammdaten.frm;"""Naziv""";Naziv;OK;396
frmStammdaten.frm;"""Kontakt Ime""";Kontakt Ime;OK;399
frmStammdaten.frm;"""Kontakt Prezime""";Kontakt Prezime;OK;400
frmStammdaten.frm;"""Hladnjaca?""";Hladnjaca?;OK;402
frmStammdaten.frm;"""Kupci""";Kupci;OK;418
frmStammdaten.frm;"""Ulica""";Ulica;OK;443
frmStammdaten.frm;"""PIB""";PIB;OK;447
frmStammdaten.frm;"""Email""";Email;OK;449
frmStammdaten.frm;"""Hladnjaca""";Hladnjaca;OK;450
frmStammdaten.frm;"""Vozaci""";Vozaci;OK;457
frmStammdaten.frm;"""PIN""";PIN;OK;478
frmStammdaten.frm;"""Parcele""";Parcele;OK;490
frmStammdaten.frm;"""Kooperant""";Kooperant;OK;523
frmStammdaten.frm;"""Kat. Broj""";Kat. Broj;OK;524
frmStammdaten.frm;"""Kultura""";Kultura;OK;526
frmStammdaten.frm;"""Povrsina (ha)""";Povrsina (ha);OK;527
frmStammdaten.frm;"""GGAP Status""";GGAP Status;OK;528
frmStammdaten.frm;"""Napomena""";Napomena;OK;529
frmStammdaten.frm;"""Artikli""";Artikli;OK;572
frmStammdaten.frm;"""Tip""";Tip;OK;596
frmStammdaten.frm;"""Jedinica Mere""";Jedinica Mere;OK;597
frmStammdaten.frm;"""Cena po jed.""";Cena po jed.;OK;598
frmStammdaten.frm;"""Doza po ha""";Doza po ha;OK;600
frmStammdaten.frm;"""Pakovanje""";Pakovanje;OK;601
frmStammdaten.frm;"""Kulture""";Kulture;OK;638
frmStammdaten.frm;"""Gajbica po paleti""";Gajbica po paleti;OK;662
frmStammdaten.frm;"""Tip palete""";Tip palete;OK;705
frmStammdaten.frm;"""Kutije""";Kutije;OK;723
frmStammdaten.frm;"""Tip kutije""";Tip kutije;OK;735
frmStammdaten.frm;"""Kese""";Kese;OK;741
frmStammdaten.frm;"""Tip kese""";Tip kese;OK;753
frmStammdaten.frm;"""Vrsta gotovog proizvoda""";Vrsta gotovog proizvoda;OK;759
frmStammdaten.frm;"""Tip gotovog proizvoda""";Tip gotovog proizvoda;OK;771
frmStammdaten.frm;"""Cenovnik""";Cenovnik;OK;776
frmStammdaten.frm;"""Klasa""";Klasa;OK;799
frmStammdaten.frm;"""Datum""";Datum;OK;800
frmStammdaten.frm;"""Cena""";Cena;OK;801
frmStammdaten.frm;"""Potvrdi brisanje""";Potvrdi brisanje;OK;2510
modKarticaDetalji.bas;"""DETALJI OTKUPA (klik na red)""";DETALJI OTKUPA (klik na red);OK;93
modKarticaDetalji.bas;"""DETALJI""";DETALJI;OK;242
modKarticaDetalji.bas;"""DETALJI STAVKE""";DETALJI STAVKE;OK;255
modKarticaDetalji.bas;"""DETALJI OTPREMNICE""";DETALJI OTPREMNICE;OK;270
modKarticaDetalji.bas;"""DETALJI OTKUPA""";DETALJI OTKUPA;OK;345
modOtkupBlok.bas;"""Cena po otpremnici:""";Cena po otpremnici:;OK;295
modOtkupBlok.bas;"""Zbirna: -""";Zbirna: -;OK;318
modOtkupBlok.bas;"""OTPREMNICE  (klik = izbor)""";OTPREMNICE  (klik = izbor);OK;325
modOtkupBlok.bas;"""Prikaz: Sve""";Prikaz: Sve;OK;327
modOtkupBlok.bas;"""BLOKOVI""";BLOKOVI;OK;330
modOtkupBlok.bas;"""Od:""";Od:;OK;337
modOtkupBlok.bas;"""Do:""";Do:;OK;340
modOtkupBlok.bas;"""Storniraj""";Storniraj;OK;347
modOtkupBlok.bas;"""Biraj otpremnice""";Biraj otpremnice;OK;351
modOtkupBlok.bas;"""Izgubljeni""";Izgubljeni;OK;354
modOtkupBlok.bas;"""Preuzmi""";Preuzmi;OK;356
modOtkupBlok.bas;"""Prikaz: Nezavrsene""";Prikaz: Nezavrsene;OK;675
modOtkupBlok.bas;"""Nazad""";Nazad;OK;750
modOtkupBlok.bas;"""Zbirna: """;Zbirna: ;OK;1146
modOtkupBlok.bas;"""Ukupno kg: """;Ukupno kg: ;OK;1177
modOtkupBlok.bas;"""U blokovima: """;U blokovima: ;OK;1178
modOtkupBlok.bas;"""Ostatak: """;Ostatak: ;OK;1179
modOtkupBlok.bas;"""Ukupno amb: """;Ukupno amb: ;OK;1181
modOtkupBlok.bas;"""U blokovima amb: """;U blokovima amb: ;OK;1182
modOtkupBlok.bas;"""Ostatak amb: """;Ostatak amb: ;OK;1183
modPodesavanja.bas;"""Interna polja (token, bound, status, HWM, OAuth token...) se namerno NE prikazuju.""";Interna polja (token, bound, status, HWM, OAuth token...) se namerno NE prikazuju.;OK;202
modTheme.bas;"""[""";[;OK;645
