Fajl;Linija;OrigLiteral;Zamena;Napomena
frmDokumenta.frm;728;"""jednaka bruto težini (""";"Poruka(""DOK_MSG_JEDNAKA_BRUTO_TEZINI"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmDokumenta.frm;729;"""Proverite broj komada ili tip ambalaže.""";"Poruka(""DOK_MSG_PROVERITE_BROJ_KOMADA"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmDokumenta.frm;774;"""Tip ambalaže '""";"Poruka(""DOK_MSG_TIP_AMBALAZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;774;"""' nema unetu težinu gajbice """;"Poruka(""DOK_MSG_NEMA_UNETU_TEZINU"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;775;"""(Maticni podaci ? Tip ambalaže).""";"Poruka(""DOK_MSG_MATICNI_PODACI_TIP"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;776;"""Bruto (II klasa) se ne može pretvoriti u neto.""";"Poruka(""DOK_MSG_BRUTO_KLASA_MOZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;781;"""Težina ambalaže II klase (""";"Poruka(""DOK_MSG_TEZINA_AMBALAZE_KLASE"")";"CONCAT: MsgBox ""Težina ambalaže II klase ("" & Format$(taraKgII, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka"
frmDokumenta.frm;782;"""jednaka bruto težini (""";"Poruka(""DOK_MSG_JEDNAKA_BRUTO_TEZINI"")";"CONCAT: MsgBox ""Težina ambalaže II klase ("" & Format$(taraKgII, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka"
frmDokumenta.frm;819;"""Greška pri cuvanju otpremnice. Promene su vracene.""";"Poruka(""DOK_MSG_GRESKA_PRI_CUVANJU"")";        MsgBox
frmDokumenta.frm;846;"""Greška: """;"Poruka(""DOK_ERR_GRESKA"")";"CONCAT: MsgBox ""Greška: "" & Err.description, vbCritical, APP_NAME"
frmDokumenta.frm;1143;"""Nema ambalaže ni novca za cuvanje.""";"Poruka(""DOK_ERR_NEMA_AMBALAZE_NOVCA"")";"Err.Raise vbObjectError + 1501, ""SaveOMUlaz_TX"", ""Nema ambalaže ni novca za cuva"
frmDokumenta.frm;1401;"""Unesite ispravnu kolicinu ambalaže!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU"")";            MsgBox
frmDokumenta.frm;1417;"""Unesite ambalažu ili novac za OM ulaz.""";"Poruka(""DOK_MSG_UNESITE_AMBALAZU_ILI"")";        MsgBox
frmDokumenta.frm;1422;"""Izaberite tip ambalaže!""";"Poruka(""DOK_MSG_IZABERITE_TIP_AMBALAZE"")";        MsgBox
frmDokumenta.frm;1495;"""Nedovoljno OM avansa! Raspoloživo: """;"Poruka(""DOK_MSG_NEDOVOLJNO_AVANSA_RASPOLOZIVO"")";"CONCAT: MsgBox ""Nedovoljno OM avansa! Raspoloživo: "" & Format$(omSaldo, ""#,##0"") & "" RSD"", vbExclamation, AP"
frmDokumenta.frm;1544;"""Greška pri cuvanju OM ulaza. Promene su vracene.""";"Poruka(""DOK_MSG_GRESKA_PRI_CUVANJU_2"")";        MsgBox
frmDokumenta.frm;1573;"""Greška: """;"Poruka(""DOK_ERR_GRESKA"")";"CONCAT: MsgBox ""Greška: "" & Err.description, vbCritical, APP_NAME"
frmDokumenta.frm;1669;"""Unosi se samo II klasa: obrišite kolicinu ambalaže za I klasu.""";"Poruka(""DOK_MSG_UNOSI_SAMO_KLASA"")";            MsgBox
frmDokumenta.frm;1688;"""Unesite ispravnu kolicinu ambalaže!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU"")";            MsgBox
frmDokumenta.frm;1698;"""Unesite ispravnu kolicinu ambalaže za II klasu!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU_2"")";                MsgBox
frmDokumenta.frm;1727;"""Validacija nije prošla. Proverite kg i ambalažu (razlika mora biti 0).""";"Poruka(""DOK_MSG_VALIDACIJA_NIJE_PROSLA"")";        MsgBox
frmDokumenta.frm;1762;"""Greška pri cuvanju zbirne. Promene su vracene.""";"Poruka(""DOK_MSG_GRESKA_PRI_CUVANJU_3"")";        MsgBox
frmDokumenta.frm;1784;"""Greška: """;"Poruka(""DOK_ERR_GRESKA"")";"CONCAT: MsgBox ""Greška: "" & Err.description, vbCritical, APP_NAME"
frmDokumenta.frm;1830;"""Neispravna kolicina ambalaže""";"Poruka(""DOK_LBL_NEISPRAVNA_KOLICINA_AMBALAZE"")";            lblValidacijaAmb.caption =
frmDokumenta.frm;1968;"""Unosi se samo II klasa: obrišite kolicinu ambalaže za I klasu.""";"Poruka(""DOK_MSG_UNOSI_SAMO_KLASA"")";            MsgBox
frmDokumenta.frm;1987;"""Unesite ispravnu kolicinu ambalaže!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU"")";            MsgBox
frmDokumenta.frm;1996;"""Unesite ispravnu kolicinu vracene ambalaže!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU_3"")";            MsgBox
frmDokumenta.frm;2006;"""Unesite ispravnu kolicinu ambalaže za II klasu!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU_2"")";                MsgBox
frmDokumenta.frm;2037;"""Tip ambalaže '""";"Poruka(""DOK_MSG_TIP_AMBALAZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2037;"""' nema unetu težinu gajbice """;"Poruka(""DOK_MSG_NEMA_UNETU_TEZINU"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2038;"""(Maticni podaci ? Tip ambalaže).""";"Poruka(""DOK_MSG_MATICNI_PODACI_TIP"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2039;"""Bruto se ne može pretvoriti u neto.""";"Poruka(""DOK_MSG_BRUTO_MOZE_PRETVORITI"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2044;"""Težina ambalaže (""";"Poruka(""DOK_MSG_TEZINA_AMBALAZE"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmDokumenta.frm;2045;"""jednaka bruto težini (""";"Poruka(""DOK_MSG_JEDNAKA_BRUTO_TEZINI"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmDokumenta.frm;2046;"""Proverite broj komada ili tip ambalaže.""";"Poruka(""DOK_MSG_PROVERITE_BROJ_KOMADA"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmDokumenta.frm;2061;"""Tip ambalaže '""";"Poruka(""DOK_MSG_TIP_AMBALAZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2061;"""' nema unetu težinu gajbice """;"Poruka(""DOK_MSG_NEMA_UNETU_TEZINU"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2062;"""(Maticni podaci ? Tip ambalaže).""";"Poruka(""DOK_MSG_MATICNI_PODACI_TIP"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2063;"""Bruto (II klasa) se ne može pretvoriti u neto.""";"Poruka(""DOK_MSG_BRUTO_KLASA_MOZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbPrij.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? "
frmDokumenta.frm;2068;"""Težina ambalaže II klase (""";"Poruka(""DOK_MSG_TEZINA_AMBALAZE_KLASE"")";"CONCAT: MsgBox ""Težina ambalaže II klase ("" & Format$(taraKgII, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka"
frmDokumenta.frm;2069;"""jednaka bruto težini (""";"Poruka(""DOK_MSG_JEDNAKA_BRUTO_TEZINI"")";"CONCAT: MsgBox ""Težina ambalaže II klase ("" & Format$(taraKgII, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka"
frmDokumenta.frm;2131;"""Greška pri cuvanju prijemnice. Promene su vracene.""";"Poruka(""DOK_MSG_GRESKA_PRI_CUVANJU_4"")";        MsgBox
frmDokumenta.frm;2184;"""Greška: """;"Poruka(""DOK_ERR_GRESKA"")";"CONCAT: MsgBox ""Greška: "" & Err.description, vbCritical, APP_NAME"
frmDokumenta.frm;2369;"""Unesite ispravnu kolicinu ambalaže!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU"")";            MsgBox
frmDokumenta.frm;2385;"""Unesite ambalažu ili uplatu kupca.""";"Poruka(""DOK_MSG_UNESITE_AMBALAZU_ILI_2"")";        MsgBox
frmDokumenta.frm;2390;"""Izaberite tip ambalaže!""";"Poruka(""DOK_MSG_IZABERITE_TIP_AMBALAZE"")";        MsgBox
frmDokumenta.frm;2447;"""Greška pri cuvanju izlaza kupca. Promene su vracene.""";"Poruka(""DOK_MSG_GRESKA_PRI_CUVANJU_5"")";        MsgBox
frmDokumenta.frm;2464;"""Greška: """;"Poruka(""DOK_ERR_GRESKA"")";"CONCAT: MsgBox ""Greška: "" & Err.description, vbCritical, APP_NAME"
frmDokumenta.frm;2739;"""Greška pri prikazu storniranih: """;"Poruka(""DOK_ERR_GRESKA_PRI_PRIKAZU"")";"CONCAT: MsgBox ""Greška pri prikazu storniranih: "" & Err.description, vbExclamation, APP_NAME"
frmFakturisanje.frm;83;"""Štampaj""";"Poruka(""FAK_LBL_STAMPAJ"")";    StylePrimaryButton btnStampaj,
frmFakturisanje.frm;140;"""Greška pri otvaranju fakturisanja: """;"Poruka(""FAK_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju fakturisanja: "" & Err.description, vbCritical, APP_NAME"
frmFakturisanje.frm;241;"""Štampaj""";"Poruka(""FAK_LBL_STAMPAJ"")";    StylePrimaryButton btnStampaj,
frmFakturisanje.frm;427;"""Greška pri ucitavanju prijemnica: """;"Poruka(""FAK_ERR_GRESKA_PRI_UCITAVANJU"")";"CONCAT: MsgBox ""Greška pri ucitavanju prijemnica: "" & Err.description, vbCritical, APP_NAME"
frmFakturisanje.frm;615;"""Ista prijemnica je izabrana više puta: """;"Poruka(""FAK_MSG_ISTA_PRIJEMNICA_IZABRANA"")";"CONCAT: MsgBox ""Ista prijemnica je izabrana više puta: "" & prijemnicaID, vbExclamation, APP_NAME"
frmFakturisanje.frm;623;"""Izabrana prijemnica je stornirana i ne može se fakturisati.""";"Poruka(""FAK_MSG_IZABRANA_PRIJEMNICA_STORNIRANA"")";                MsgBox
frmFakturisanje.frm;631;"""Izabrana prijemnica je vec fakturisana i ne može biti ukljucena u novu fakturu.""";"Poruka(""FAK_MSG_IZABRANA_PRIJEMNICA_VEC"")";                MsgBox
frmFakturisanje.frm;712;"""Greška pri kreiranju fakture. Promene su vracene.""";"Poruka(""FAK_MSG_GRESKA_PRI_KREIRANJU"")";        MsgBox
frmFakturisanje.frm;719;"""Greška pri izradi fakture: """;"Poruka(""FAK_ERR_GRESKA_PRI_IZRADI"")";"CONCAT: MsgBox ""Greška pri izradi fakture: "" & Err.description, vbCritical, APP_NAME"
frmFakturisanje.frm;769;"""Nije pronaden ID fakture za štampu.""";"Poruka(""FAK_MSG_NIJE_PRONADEN_FAKTURE"")";        MsgBox
frmFakturisanje.frm;778;"""Greška pri štampanju: """;"Poruka(""FAK_ERR_GRESKA_PRI_STAMPANJU"")";"CONCAT: MsgBox ""Greška pri štampanju: "" & Err.description, vbCritical, APP_NAME"
frmIzvestaj.frm;84;"""Izveštaji""";"Poruka(""RPT_LBL_IZVESTAJI"")";    StyleFrameTitleLabel lblKopf,
frmIzvestaj.frm;85;"""Pregled saldo, otkupljene robe, ambalaže i prosecne cene""";"Poruka(""RPT_LBL_PREGLED_SALDO_OTKUPLJENE"")";    StyleSubtitle lblSubtitle,
frmIzvestaj.frm;89;"""Prikaži""";"Poruka(""RPT_LBL_PRIKAZI"")";    StylePrimaryButton btnUnos,
frmIzvestaj.frm;90;"""Štampaj""";"Poruka(""FAK_LBL_STAMPAJ"")";    StylePrimaryButton btnStampaj,
frmIzvestaj.frm;110;"""Štampaj karticu""";"Poruka(""RPT_LBL_STAMPAJ_KARTICU"")";    StylePrimaryButton btnStampajKarticu,
frmIzvestaj.frm;117;"""TIP IZVEŠTAJA""";"Poruka(""RPT_LBL_TIP_IZVESTAJA"")";    lblSidebarTip.caption =
frmIzvestaj.frm;380;"""Prikaži""";"Poruka(""RPT_LBL_PRIKAZI"")";    StylePrimaryButton btnUnos,
frmIzvestaj.frm;381;"""Štampaj""";"Poruka(""FAK_LBL_STAMPAJ"")";    StylePrimaryButton btnStampaj,
frmIzvestaj.frm;385;"""Štampaj karticu""";"Poruka(""RPT_LBL_STAMPAJ_KARTICU"")";    StylePrimaryButton btnStampajKarticu,
frmIzvestaj.frm;1409;"""Agro zaduženje""";"Poruka(""RPT_LBL_AGRO_ZADUZENJE"")";    SetColumnHeader lbl_H_SOM5,
frmIzvestaj.frm;1411;"""Ambalaža""";"Poruka(""RPT_LBL_AMBALAZA"")";    SetColumnHeader lbl_H_SOM7,
frmIzvestaj.frm;1422;"""Ambalaža""";"Poruka(""RPT_LBL_AMBALAZA"")";    SetColumnHeader lbl_H_SK7,
frmIzvestaj.frm;1437;"""Keš otkupac""";"Poruka(""RPT_LBL_KES_OTKUPAC"")";    SetColumnHeader lbl_H_ISP2,
frmIzvestaj.frm;1467;"""Zaduženje""";"Poruka(""RPT_LBL_ZADUZENJE"")";    SetColumnHeader lbl_H_KK4,
frmIzvestaj.frm;1468;"""Razduženje""";"Poruka(""RPT_LBL_RAZDUZENJE"")";    SetColumnHeader lbl_H_KK5,
frmMaticniPodaci.frm;73;"""Greška pri otvaranju menija šifarnika: """;"Poruka(""MATICNI_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju menija šifarnika: "" & Err.description, vbCritical, APP_NAME"
frmMaticniPodaci.frm;192;"""Greška pri otvaranju šifarnika: """;"Poruka(""MATICNI_ERR_GRESKA_PRI_OTVARANJU_2"")";"CONCAT: MsgBox ""Greška pri otvaranju šifarnika: "" & Err.description, vbCritical, APP_NAME"
frmOtkup.frm;529;""". Pokušaj ponovo.""";"Poruka(""OTKUP_MSG_POKUSAJ_PONOVO"")";"CONCAT: MsgBox ""Nije moguce preuzeti stanicu "" & stanicaID & "". Pokušaj ponovo."", vbExclamation, APP_NAME"
frmOtkup.frm;777;"""Unosi se samo II klasa: obrišite kolicinu ambalaže za I klasu.""";"Poruka(""DOK_MSG_UNOSI_SAMO_KLASA"")";            MsgBox
frmOtkup.frm;804;"""Unesite ispravnu kolicinu ambalaže!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU"")";            MsgBox
frmOtkup.frm;814;"""Unesite ispravnu kolicinu ambalaže za II klasu!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU_2"")";                MsgBox
frmOtkup.frm;825;"""Unesite ispravnu kolicinu izdate ambalaže!""";"Poruka(""OTKUP_MSG_UNESITE_ISPRAVNU_KOLICINU"")";                MsgBox
frmOtkup.frm;833;"""Izaberite tip ambalaže!""";"Poruka(""DOK_MSG_IZABERITE_TIP_AMBALAZE"")";        MsgBox
frmOtkup.frm;839;"""Izaberite tip ambalaže (za II klasu)!""";"Poruka(""OTKUP_MSG_IZABERITE_TIP_AMBALAZE"")";        MsgBox
frmOtkup.frm;845;"""Izaberite tip ambalaže (za izdatu ambalažu)!""";"Poruka(""OTKUP_MSG_IZABERITE_TIP_AMBALAZE_2"")";        MsgBox
frmOtkup.frm;853;"""Bruto režim: unesite broj gajbi za I klasu """;"Poruka(""OTKUP_MSG_BRUTO_REZIM_UNESITE"")";"CONCAT: MsgBox ""Bruto režim: unesite broj gajbi za I klasu "" & ""(bez toga se bruto ne pretvara u neto)."", vb"
frmOtkup.frm;859;"""Bruto režim: unesite broj gajbi za II klasu """;"Poruka(""OTKUP_MSG_BRUTO_REZIM_UNESITE_2"")";"CONCAT: MsgBox ""Bruto režim: unesite broj gajbi za II klasu "" & ""(bez toga se bruto ne pretvara u neto)."", v"
frmOtkup.frm;873;"""Tip ambalaže '""";"Poruka(""DOK_MSG_TIP_AMBALAZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;873;"""' nema unetu težinu gajbice """;"Poruka(""DOK_MSG_NEMA_UNETU_TEZINU"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;874;"""(Maticni podaci ? Tip ambalaže).""";"Poruka(""DOK_MSG_MATICNI_PODACI_TIP"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;875;"""Bruto se ne može pretvoriti u neto.""";"Poruka(""DOK_MSG_BRUTO_MOZE_PRETVORITI"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;880;"""Težina ambalaže (""";"Poruka(""DOK_MSG_TEZINA_AMBALAZE"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmOtkup.frm;881;"""jednaka bruto težini (""";"Poruka(""DOK_MSG_JEDNAKA_BRUTO_TEZINI"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmOtkup.frm;882;"""Proverite broj komada ili tip ambalaže.""";"Poruka(""DOK_MSG_PROVERITE_BROJ_KOMADA"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
frmOtkup.frm;896;"""Tip ambalaže '""";"Poruka(""DOK_MSG_TIP_AMBALAZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;896;"""' nema unetu težinu gajbice """;"Poruka(""DOK_MSG_NEMA_UNETU_TEZINU"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;897;"""(Maticni podaci ? Tip ambalaže).""";"Poruka(""DOK_MSG_MATICNI_PODACI_TIP"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;898;"""Bruto (II klasa) se ne može pretvoriti u neto.""";"Poruka(""DOK_MSG_BRUTO_KLASA_MOZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbalaze.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ?"
frmOtkup.frm;903;"""Težina ambalaže II klase (""";"Poruka(""DOK_MSG_TEZINA_AMBALAZE_KLASE"")";"CONCAT: MsgBox ""Težina ambalaže II klase ("" & Format$(taraKgII, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka"
frmOtkup.frm;904;"""jednaka bruto težini (""";"Poruka(""DOK_MSG_JEDNAKA_BRUTO_TEZINI"")";"CONCAT: MsgBox ""Težina ambalaže II klase ("" & Format$(taraKgII, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka"
frmOtkup.frm;905;"""Proverite broj komada ili tip ambalaže.""";"Poruka(""DOK_MSG_PROVERITE_BROJ_KOMADA"")";"CONCAT: MsgBox ""Težina ambalaže II klase ("" & Format$(taraKgII, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka"
frmOtkup.frm;975;"""Želite li ipak da nastavite?""";"Poruka(""OTKUP_MSG_ZELITE_IPAK_NASTAVITE"")";"CONCAT: ans = MsgBox(""Kultura parcele ("" & parKultura & "") ne odgovara izabranoj sorti/kulturi ("" & selected"
