competitor,source_list,source_item,source_page,location,reference_name,category,classification_confidence,agrix_potential,note,evidence_status
INFOSYS,Infosys referentna lista — agro i prehrambene firme,265,2,Čačak,INTERFOOD 60 DOO CACAK,Opšta prehrambena industrija,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,275,2,Čačak,KOBASICARSKA RADNJA-MESARA 2M,Meso i prerada mesa,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,291,2,Čačak,MILICA KIZIC PR PEKARA VUCKOVIC 55,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,292,2,Čačak,MILKOM TRADE DOO CACAK,Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,296,2,Čačak,NAPREDAK AGP DOO,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,304,2,Čačak,PEKARA DUKAT MIROSLAV POLEDICA PR CACAK,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,305,2,Čačak,PEKARA PONS DOO  CACAK,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,334,2,Čačak,SZR PEKARA BOJAN Bojan Kaplarevic PR,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,356,2,Čačak,Vertigo Brewery DOO,"Vino, pivo i ostala pića",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,373,2,Čajetina,IM ZLATIBOR DOO CAJETINA,Meso i prerada mesa,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,378,2,Čajetina,MIROSLAV TERZIC PR MIX FRUIT PLUS,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,387,2,Čajetina,ZLATIBORSKI EKO AGRAR DOO,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,388,2,Crvenka,La Natura lifestyle Adria doo,Opšta prehrambena industrija,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,391,2,Divostin,PREDUZECE MIGROS DOO,Opšta prehrambena industrija,Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,401,2,Gornji Milanovac,MLEKARA SUVOBOR DOO PRANJANI,Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,415,2,Guča,PEKARA - HLEB,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,429,2,Ivanjica,ZITOPROMET DOO IVANJICA,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,436,2,Knić,VIN FAMILY DOO,"Vino, pivo i ostala pića",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,441,2,Kosjerić,DOO SOFRONIJEVIC KOSJERIC,Poljoprivreda i kooperative,Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,452,2,Kosjerić,PPPUP MALINA PROIZVOD DOO,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,455,2,Kotraža,AGRO KOOPERATIVA DRAGACEVO d.o.o. Beli K,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,457,2,Kotraža,FRIGOMIL DOO KOTRAZA,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,459,2,Kovin,SOF DOO KOVIN,Poljoprivreda i kooperative,Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,503,2,Kragujevac,MEGGLE SRBIJA DOO,Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,524,3,Kragujevac,POLJOMARKET DOO,Agro-inputi i mehanizacija,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,541,3,Kragujevac,SPR KLAS JOVICA NIKOLIC PREDUZETNIK,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,543,3,Kragujevac,SZR MLEKAR KUC MIJAT PREDUZETNIK,Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,576,3,Krnjača,VETERINARSKI INSTITUT,"Stočarstvo, ribarstvo i veterina",Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,578,3,Krnjača,GOURMET CHEF DOO BEOGRAD,Opšta prehrambena industrija,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,581,3,Lađevci,NID DOO TAVNIK,"Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,583,3,Leštane,MACROBIOTIC PROM DOO,Opšta prehrambena industrija,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,593,3,Lučani,PREDUZEĆE DELIKATES OD LUČANI,Meso i prerada mesa,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,595,3,Lučani,TRGOVINSKA RADNJA VETO-PRODUKT LUCANI,"Stočarstvo, ribarstvo i veterina",Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,598,3,Mačkat,PRSUTAR STOJANOVIC GLISA PR MACKAT,Meso i prerada mesa,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,601,3,Mačkat,ZITOMLIN PLUS KRIVA REKA,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,602,3,Milićevo Selo,MASTER FRUITS d.o.o. Beograd,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,603,3,Milićevo Selo,SMICOM DOO POZEGA,"Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,607,3,Mrčajevci,DOO AGRO PREMIJA,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,616,3,Novi Beograd,AGRORID DOO BEOGRAD,Agro-inputi i mehanizacija,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,637,3,Novi Beograd,NAUCNI INSTITUT ZA VETERINARSTVO SRBIJE,"Stočarstvo, ribarstvo i veterina",Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,640,3,Novi Beograd,PROBAR FRUIT DOO BEOGRAD,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,650,3,Novi Sad,Agrostadt d.o.o. Rumenka,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,656,3,Novi Sad,TIMAC AGRO BALKANS DOO,Agro-inputi i mehanizacija,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,665,3,Pančevo,Wellgreen d.o.o.,Poljoprivreda i kooperative,Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,670,3,Požega,"""LATONA"" DOO","Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,674,3,Požega,AGRONOM FIT DOO POZEGA,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,679,3,Požega,"DRIM DOO POZEGA, RASNA","Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,680,3,Požega,FRIGO -PAUN DOO POZEGA,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,691,3,Požega,LADJEVAC DONJA DOBRINJA,"Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,692,3,Požega,MAGIC BERRY FRUITS D.O.O.,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,698,3,Požega,PEKAR STARCEVIC 2 POZEGA,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,699,3,Požega,"PEKARA IVANOVIC IVANOVIC MIRA PR, POZEGA","Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,702,3,Požega,PREHRANA DOO POZEGA,Opšta prehrambena industrija,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,710,3,Požega,STKPR AGRONOM ZORAN VASILJEVIC PR,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,718,3,Požega,ZRNO M MARICIC SNEZANA PR,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,719,3,Požega,ZANA DJURIC PR MRVICA ARILJE,"Žitarice, pekarstvo i konditorska industrija",Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,727,3,Priboj,PEKARA DEJO 1978 PRIBOJ,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,735,4,Prijepolje,Lim Natura 2020 doo,Opšta prehrambena industrija,Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,741,4,Prijevor,DOO FILOS PRIJEVOR,"Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,743,4,Prijevor,VESNA GLISIC-JOJIC PR FINESA V FRUIT,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,745,4,Rogačica,DODIC d.o.o. ROGACICA,"Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,748,4,Rupeljevo,SIROGOJNO CO DOO,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,753,4,Sevojno,FRIGO PREHRANA,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,773,4,Sjenica,MLEKARA FASS DOO SJENICA,Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,776,4,Šljivovica,PEGO OD SLJIVOVICA,"Žitarice, pekarstvo i konditorska industrija",Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,777,4,Smederevo,MALUS JABUKA DOO UDOVICE,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,778,4,Smederevo,ZMAJ  DOO SMEDEREVO,Agro-inputi i mehanizacija,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,786,4,Trbušani,EWES EUROPE EAST DOO,"Stočarstvo, ribarstvo i veterina",Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,790,4,Trstenik,SNN DOO ALEKSANDROVAC,"Vino, pivo i ostala pića",Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
